ID,pregunta,respuesta,intencion,entidades,referencias
57,Qué es la mediastinoscopia,"Procedimiento en el que se usa un mediastinoscopio para examinar los órganos ubicados en el área entre los pulmones y los ganglios linfáticos cercanos. Un mediastinoscopio es un instrumento en forma de tubo delgado, con una luz y una lente para observar. A veces tiene una herramienta para extraer tejido y observarlo al microscopio para verificar si hay signos de enfermedad. Se realiza una incisión por encima del esternón y se introduce un mediastinoscopio en el tórax. Por lo general, este procedimiento se usa para obtener una muestra de los ganglios linfáticos del lado derecho del tórax.",diagnostico del cáncer del pulmón,mediastinoscopia,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/mediastinoscopy|https://doi.org/10.1093/ejcts/ezx122
58,Cuantas etapas tiene el cáncer de pulmón,Las etapas del cáncer de pulmón se conocen como estadios. Estos depende del tipo de nacer de pulomon el de células microciticas tiene 2 estadios y el de no microciticas tiene 6 estadios,diagnostico del cáncer del pulmón,etapas,https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq#_236|https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/staging.html
59,Qué es el estado limitado,"En el estadio limitado, el cáncer se encuentra en el pulmón en el que se originó y es posible que se haya diseminado al área entre los pulmones o a los ganglios linfáticos por encima de la clavícula.",diagnostico del cáncer del pulmón,limita,https://www.cancer.gov/types/lung/hp/small-cell-lung-treatment-pdq|https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/staging-sclc.html
60,Qué es el estado diseminado,"En el estadio extendido (diseminado), el cáncer se diseminó a otras partes del cuerpo fuera del pulmón, el área entre los pulmones o los ganglios linfáticos por encima de la clavícula.",diagnostico del cáncer del pulmón,diseminado,https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/staging-sclc.html|https://doi.org/10.1002/cncr.30230
61,Qué metodos de diagnostico determinan mejor el estadio del cáncer de pulmón,"Para determinar el estadio del cáncer de pulmón, se utilizan pruebas de imagen, biopsias y análisis de laboratorio. ",diagnostico del cáncer del pulmón,metodos,https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq#_4|https://doi.org/10.1016/j.chest.2016.10.010
62,Existen riesgos de los exámenes de detección del cáncer de pulmón,"Una prueba de detección de cáncer de pulmón puede identificar casos de cáncer en que posiblemente el cáncer jamás hubiera causado un problema en el paciente. Esto se denomina sobrediagnóstico. El sobrediagnóstico puede llevar a tratamientos que no son necesarios. Este es uno de los riesgos junto a la radriografia y la radiacion, y los falsos positivos y negativos",diagnostico del cáncer del pulmón,riesgos,https://www.cancer.gov/types/lung/hp/lung-screening-pdq|https://doi.org/10.1056/NEJMoa1911793
63,Qué pasa si un exámen tiene resultados negativos falsos.,"Esto puede generar un potencial de un diagnóstico tardío. Los datos que evalúan los resultados de todas las formas de diagnóstico tardío en la detección del cáncer de pulmón son limitados. Sin embargo, se puede suponer razonablemente que las pruebas de falso negativo conducirían a un peor pronóstico debido al cambio de estadio, aunque se desconoce la magnitud real de esto en los programas de detección pulmonar.",diagnostico del cáncer del pulmón,negativos|falsos,"https://www.cancer.gov/types/lung/hp/lung-screening-pdq|https://doi.org/10.1001/jama.297.9.953
 
"
64,Qué pasa si un exámen tiene resultados positivos falsos,Una prueba de detección de cáncer de pulmón puede sugerir que una persona tiene cáncer de pulmón cuando no hay cáncer presente. A esto se lo llama resultado falso positivo. Los resultados falsos positivos pueden llevar a pruebas de seguimiento y cirugías innecesarias y podrían presentar riesgos. por,diagnostico del cáncer del pulmón,positivoss|falsos,https://www.cancer.gov/types/lung/hp/lung-screening-pdq|https://doi.org/10.1056/NEJMoa1102873
65,Qué consecuencias tiene que las radiografías del tórax y las TC expongan el tórax a la radiación,La exposición a la radiación de las radiografías de tórax y las tomografías computarizadas (TC) puede aumentar ligeramente el riesgo de desarrollar cáncer.,diagnostico del cáncer del pulmón,radiacion|expon,https://doi.org/10.1056/NEJMra072149| https://www.cancer.gov/about-cancer/causes-prevention/risk/radiation/pediatric-ct-scans
66,¿Cuándo se debe dejar de hacer pruebas de detección?,"Se debe hacer los examenes de detccion cuando cumplan 81 años, o no haya fumado en 15 años o más, o si presenta un problema de salud que no les permita someterse a una operación o que no tengan la voluntad de hacerlo en caso de que se encontrara cáncer.",diagnostico del cáncer del pulmón,dejar|pruebas,https://doi.org/10.1001/jama.2021.1117|https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/screening.html
67,Existen examenes posteriores a detectar cáncer de pulmón,Si existen examenes posteriores para poder determinar el estadio del cáncer lo cual es fundamental para poder llevar un tratamiento adecuado,diagnostico del cáncer del pulmón,posteriores,https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq#_4|https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/how-diagnosed.html
68,Cuándo debo ir al medico para que observe la posibilidad de sufrir cáncer de pulmón,"Las personas con más riesgo para cáncer de pulmón pueden considerar someterse a exámenes de detección todos los años, mediante tomografía computarizada de dosis baja. En general, un examen de detección para cáncer de pulmón se ofrece a las personas mayores de 50 años que fueron muy fumadoras durante muchos años. Un examen de detección también se ofrece a las personas que dejaron de fumar en los últimos 15 años. Habla sobre tu riesgo para cáncer de pulmón con el profesional de atención médica. Juntos podrán decidir si los exámenes de detección para el cáncer de pulmón son lo que más te conviene.",diagnostico del cáncer del pulmón,ir|medico,https://doi.org/10.1001/jama.2021.1117|https://www.lung.org/lung-health-diseases/lung-disease-lookup/lung-cancer/screening-resources
69,Qué es el cribado del cáncer de pulmón,"El cribado del cáncer de pulmón es el proceso de realizar pruebas para detectar la enfermedad en una etapa temprana, antes de que aparezcan los síntomas. A diferencia de otros cánceres, las pruebas de cribado rutinarias para el cáncer de pulmón no son comunes en todo el mundo. No obstante, mediante la investigación se ha descubierto que con el cribado del cáncer de pulmón se puede mejorar la tasa de supervivencia. Muchas organizaciones de la salud están solicitando a los gobiernos y a organizaciones internacionales que comiencen a ofrecer programas para la población considerada de alto riesgo.",diagnostico del cáncer del pulmón,cribado,https://www.cancer.gov/types/lung/hp/lung-screening-pdq|https://doi.org/10.1056/NEJMoa1911793
70,Qué es el estadio,"La estadificación se refiere a la extensión del cáncer, como el tamaño del tumor y si el cáncer se diseminó. Saber el estadio del cáncer sirve para que los médicos hagan lo siguiente. Entender la gravedad del cáncer y las probabilidades de supervivencia Planificar el mejor tratamiento Identificar estudios clínicos que podrían ser opciones de tratamiento  El cáncer siempre lleva el nombre del estadio en el momento del diagnóstico, aunque luego empeore o se disemine. La información sobre los cambios en el cáncer que ocurren con el tiempo se añade a la estadificación inicial. Es decir, aunque cambie el cáncer, el estadio no cambia.",diagnostico del cáncer del pulmón,estadio,https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/staging.html|https://doi.org/10.1016/j.jtho.2015.09.009
71,Qué es una toracocentesis,"La toracocentesis es un procedimiento médico fundamental diseñado para extraer líquido o aire del espacio pleural, con fines diagnósticos y terapéuticos. Esta intervención suele estar indicada para afecciones como derrame pleural, neumotórax y hemotórax, en las que la acumulación de líquido o aire provoca dificultad respiratoria y deterioro de la función pulmonar. Al insertar una aguja o un catéter a través de la pared torácica hasta la cavidad pleural, los profesionales sanitarios pueden aliviar los síntomas, analizar el líquido pleural en busca de causas subyacentes y orientar las decisiones de tratamiento posteriores. La eficacia del procedimiento se mejora mediante la guía ecográfica, que mejora la precisión y minimiza las complicaciones, lo que en última instancia desempeña un papel fundamental en el tratamiento del paciente.",diagnostico del cáncer del pulmón,toracocentesis,https://doi.org/10.1056/NEJMra1403503
72,Qué es una microscopía óptica y electrónica,"Son los procedimientos médicos para los que se analizan muestras de tejido, sangre, orina u otras sustancias del cuerpo. Estas pruebas ayudan a determinar un diagnóstico, planificar y controlar el tratamiento, o vigilar la enfermedad a lo largo del tiempo.",diagnostico del cáncer del pulmón,microscopia,"Bozzola, J. J., & Russell, L. D. (1999). Electron microscopy: Principles and techniques for biologists (2nd ed.). Jones & Bartlett Learning. Murphy, D. B., & Davidson, M. W. (2012). Fundamentals of light microscopy and electronic imaging (2nd ed.). Wiley-Blackwell."
73,Qué es una mediastinotomía anterior,"Es el procedimiento quirúrgico para observar los órganos y tejidos ubicados entre los pulmones, y entre el esternón y el corazón, para determinar si hay áreas anormales. Se realiza una incisión (corte) por encima del esternón y se introduce un mediastinoscopio en el tórax. Un mediastinoscopio es un instrumento delgado en forma de tubo, con una luz y una lente para observar. A veces tiene una herramienta para extraer muestras de tejido o ganglios linfáticos, que se examinan al microscopio para verificar si hay signos de cáncer. Esto también se llama procedimiento de Chamberlain.",diagnostico del cáncer del pulmón,anterior,"Ginsberg, R. J., & Martini, N. (1987). Mediastinoscopy and anterior mediastinotomy. Chest Surgery Clinics of North America, 2(1), 59-69. Detterbeck, F. C. (2010). Evaluation of mediastinal lymph nodes in lung cancer. Chest, 137(1), 302-312. https://doi.org/10.1378/chest.09-0803"
74,Qué es una prueba molecular,"Uan prueba donde  se comprueban si hay ciertos genes, proteínas u otras moléculas en una muestra de tejido, sangre u otro liquido del cuerpo. Las pruebas moleculares sirven para detectar cambios en cierto gen o cromosoma que se producen en el cáncer de pulmón de células no pequeñas.",diagnostico del cáncer del pulmón,molecular,https://doi.org/10.1016/j.jmoldx.2017.11.004|https://doi.org/10.1038/nrclinonc.2013.43
75,Qué es una prueba inmunohistoquímica,"Método de laboratorio para el que se usan anticuerpos a fin de determinar si hay ciertos antígenos (marcadores) en una muestra de tejido. Por lo general, los anticuerpos se unen a una enzima o un tinte fluorescente. Una vez que los anticuerpos se unen al antígeno en una muestra de tejido, se activa la enzima o el tinte y se observa el antígeno al microscopio. Este tipo de prueba se usa para diagnosticar enfermedades como el cáncer. También se utiliza para ayudar a diferenciar entre tipos de cáncer. También se llama análisis inmunohistoquímico.",diagnostico del cáncer del pulmón,inmunohistoquimica,"https://doi.org/10.1354/vp.42-4-405 Taylor, C. R., & Shi, S. R. (2013). Immunohistochemistry and immunocytochemistry: Essential methods. Wiley-Blackwell."
76,Qué factores afectan al diagnostico cáncer de pulmón,El estadio del cáncer ya que si es muy temprano puede ser propenso a dar un falso negativo,diagnostico del cáncer del pulmón,factores|afectan,https://www.cancer.gov|https://doi.org/10.1016/j.chest.2016.10.010
77,Qué es el estudio citológico del esputo,"Examen al microscopio de células que se encuentran en el esputo (moco y otras sustancias expulsadas por los pulmones al toser) para verificar si hay células anormales, como las células de cáncer de pulmón.",diagnostico del cáncer del pulmón,esputo,https://pubmed.ncbi.nlm.nih.gov/3915250/|https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging.html
78,Qué es la biopsia por aspiración con aguja fina,"Es la extracción de tejido o líquido del pulmón mediante una aguja fina. Se usa una TC, ecografía u otra prueba con imágenes para encontrar el tejido o líquido anormales en el pulmón. A veces se hace una pequeña incisión en la piel para pasar la aguja de biopsia hasta el tejido o líquido anormales. La muestra se extrae con la aguja y se envía al laboratorio. Luego un patólogo observa la muestra al microscopio para detectar células cancerosas. Después del procedimiento, se toma una radiografía del tórax para asegurar que no hay escapes de aire del pulmón hacia el tórax.",diagnostico del cáncer del pulmón,aguja|fina,https://ccij-online.org/storage/files/article/ccij-r2unmsibva8-472/ClinCancerInvestigJ_2015_4_5_637_162250.pdf|https://doi.org/10.1378/chest.12-2353
79,Qué es una tomografía por emisión de positrones,"Procedimiento mediante el cual se inyecta una cantidad pequeña de glucosa (azúcar) radiactiva en una vena y se usa un escáner para obtener imágenes computarizadas detalladas de áreas internas del cuerpo que absorben la glucosa. Debido a que las células cancerosas a menudo absorben más glucosa que las células normales, las imágenes se usan para identificar las células cancerosas. También se llama TEP.",diagnostico del cáncer del pulmón,positrones,https://doi.org/10.1038/nrc882|https://doi.org/10.2967/jnumed.107.047787
80,Qué son las imágenes por resonancia magnética (IRM) del encéfalo,"Es el procedimiento para el que se usan un imán, ondas de radio y una computadora a fin de crear una serie de imágenes detalladas de áreas del interior del encéfalo. Este procedimiento también se llama imágenes por resonancia magnética nuclear (IRMN).",diagnostico del cáncer del pulmón,encefalo,https://doi.org/10.1016/S0305-7372(03)00105-1
81,Qué es una gammagrafía ósea,Es un procedimiento para verificar si hay células en los huesos. Se inyecta una cantidad muy pequeña de material radioactivo en una vena y este recorre el torrente sanguíneo. El material radiactivo se acumula en los huesos con cáncer y se detecta con un escáner.,diagnostico del cáncer del pulmón,gammagrafia,https://jnm.snmjournals.org/content/46/8/1356|https://doi.org/10.1053/j.semnuclmed.2006.09.004
82,Qué estadios del cáncer de pulmón de células no microcíticos existen,"Existen 6 estadios, el estadio oculto o escondido y el estadio 0 al 4",diagnostico del cáncer del pulmón,estadios,https://doi.org/10.1016/j.jtho.2015.09.009|https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/staging-nsclc.html
83,Qué es el estadio oculto (escondido) del cáncer de pulmón de células no microcíticos,"En el estadio oculto (escondido), el cáncer no se observa en las pruebas con imágenes ni en la broncoscopia. Se encuentran células cancerosas en el esputo o en una muestra de lavado bronquial (se extraen células del interior de las vías respiratorias que van al pulmón). Es posible que el cáncer se haya diseminado a otras partes del cuerpo.",diagnostico del cáncer del pulmón,estadio|oculto,https://doi.org/10.1016/j.chest.2016.10.010|https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/staging-nsclc.html
84,Qué es el estadio 0 del cáncer de pulmón de células no microcíticos,"En el estadio 0, se encuentran células anormales en el revestimiento de las vías respiratorias. Es posible que estas células anormales se vuelvan cancerosas y se diseminen al tejido normal cercano. El estadio 0 puede ser un adenocarcinoma in situ o un carcinoma de células escamosas in situ.",diagnostico del cáncer del pulmón,estadio|0,https://doi.org/10.1097/JTO.0b013e318206a221|
85,Qué es el estadio 1 del cáncer de pulmón de células no microcíticos,"En el estadio I, el cáncer se formó. El estadio I se divide en los estadios IA y IB. En el estadio IA, el tumor solo está en el pulmón y mide 3 cm o menos. El cáncer no se diseminó a los ganglios linfáticos. En el (estadio IB), se presenta una de las siguientes situaciones: El tumor mide más de 3 cm, pero no más de 4 cm. El cáncer no se diseminó a los ganglios linfáticos. El tumor mide 4 cm o menos, el cáncer no se diseminó a los ganglios linfáticos y se encuentran uno o más de los siguientes casos: El cáncer se diseminó al bronquio principal, pero no a la carina. El cáncer se diseminó a la capa más interna de la membrana que recubre el pulmón. Todo el pulmón o una parte de este se desinfló o presenta neumonitis.",diagnostico del cáncer del pulmón,estadio|1,https://doi.org/10.1183/09031936.00120714
86,Qué es el estadio 2 del cáncer de pulmón de células no microcíticos,"El estadio II se divide en los estadios IIA y IIB. En el estadio IIA, el tumor mide más de 4 cm, pero no más de 5 cm. El cáncer no se diseminó a los ganglios linfáticos y se presentan una o más de las siguientes situaciones: El cáncer se diseminó al bronquio principal, pero no a la carina. El cáncer se diseminó a la capa más interna de la membrana que recubre el pulmón. Todo el pulmón o una parte de este se desinfló o presenta neumonitis. En el estadio IIB, se presenta una de las siguientes situaciones: El tumor mide 5 cm o menos y el cáncer se diseminó a los ganglios linfáticos del mismo lado del tórax que el tumor primario. Los ganglios linfáticos cancerosos se encuentran en el pulmón o cerca del bronquio. Además, se presentan uno o más de los siguientes casos: El cáncer se diseminó al bronquio principal, pero no a la carina. El cáncer se diseminó a la capa más interna de la membrana que recubre el pulmón. Todo el pulmón o una parte de este se desinfló o presenta neumonitis.",diagnostico del cáncer del pulmón,estadio|2,https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq
87,Qué es el estadio 3 del cáncer de pulmón de células no microcíticos,"El estadio III se divide en los estadios IIIA, IIIB y IIIC.",diagnostico del cáncer del pulmón,estadio|3,"Rami-Porta, R., et al. (2014). European Respiratory Journal, 44(4), 905-919. Detterbeck, F. C., et al. (2017). Chest, 151(1), 193-203."
88,Qué es el estadio 4 del cáncer de pulmón de células no microcíticos,"El estadio IV se divide en los estadios IVA y IVB.En el estadio IVA, el tumor es de cualquier tamaño y es posible que el cáncer se haya diseminado a los ganglios linfáticos. Se presentan una o más de las siguientes situaciones: Hay uno o más tumores en el pulmón contrario al del tumor primario. Se encuentra cáncer en el revestimiento de los pulmones o el pericardio (membrana que rodea el corazón).Se encuentra cáncer en el líquido que rodea los pulmones o el corazón. El cáncer se diseminó a una parte de un órgano alejado del pulmón, como el encéfalo, el hígado, la glándula suprarrenal, el riñón, el hueso, o un ganglio linfático alejado del pulmón.En el estadio IVB, el cáncer se diseminó a muchas partes de uno o más órganos alejados del pulmón.",diagnostico del cáncer del pulmón,estadio|4,https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq
89,Qué estadios del cáncer de pulmón de células microcíticos existen,Existen 2 estadios para el cáncer de pulmón de células microcítico los que son el estadio limitado y extendido,diagnostico del cáncer del pulmón,estadios|microcíticos,https://jnccn.org/doi/10.6004/jnccn.2013.0011|https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq
90,Qué es el estadio limitado del cáncer de pulmón de células microcíticos,"Cáncer que se encuentra solamente en un pulmón, los tejidos entre los pulmones y los ganglios linfáticos cercanos.",diagnostico del cáncer del pulmón,estadio|limitado,https://jnccn.org/view/journals/jnccn/20/5/article-p497.xml|https://doi.org/10.1093/annonc/mdt178
91,Qué tipos de tratamiento existen para el cáncer de células no microciticas,"Hay diferentes tipos de tratamiento disponibles para las personas con cáncer de pulmón de células no pequeñas. El equipo de atención del cáncer le ayudará a decidir el plan de tratamiento, que suele incluir varias opciones. Se tendrán en cuenta muchos factores, como el estadio del cáncer, el estado general de salud y las preferencias personales. El plan incluirá información sobre el tipo de cáncer, además de las opciones, objetivos, posibles efectos secundarios y la duración esperada del tratamiento. Estos tratamientos van desde cirugias, quimioterapia, inmunoterapia hasta radiosensibilizadores y otros",tratamiento del cáncer de pulmón,tratamiento,https://jnccn.org/view/journals/jnccn/20/5/article-p497.xml|https://doi.org/10.6004/jnccn.2021.0013 National Cancer Institute. (2023). Non-small cell lung cancer treatment (PDQ®)–patient version. https://www.cancer.gov
92,Como es una cirugia pra tratar el cáncer de células no microciticas,"Son cirugias que extraen partes del pulmón que fueron afectadas por el cáncer estas cirugias son la reseccion de cuña, lobectomia, neumonectomia, y reseccion en manguito",tratamiento del cáncer de pulmón,cirugia,https://www.cancer.org practice guidelines|https://doi.org/10.1378/chest.12-2359
93,Qué es la reseccion de cuña,"La reseccion de cuña es una cirugía para extirpar un tumor y una pequeña cantidad del tejido normal que lo rodea. Si se extrae una cantidad más grande de tejido, se llama resección segmentaria.",tratamiento del cáncer de pulmón,cuna,https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/surgery.html|https://doi.org/10.1378/chest.12-2359
94,Qué es la lobectomia,Lobectomía: cirugía para extirpar por completo un lóbulo (sección) del pulmón.,tratamiento del cáncer de pulmón,lobectomia,https://doi.org/10.1016/0003-4975(95)00537-U|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/surgery.html
95,Qué es la neumonectomía,"Una neumonectomía es la extirpación de un pulmón. Los pulmones son dos órganos grandes que se encuentran a cada lado de la cavidad torácica. Los pulmones filtran el oxígeno y lo introducen en la sangre. Los pulmones también nos protegen de los elementos nocivos del aire que podemos respirar. Los pulmones producen mucosidad, que atrapa cosas como el humo, la contaminación, las bacterias y los virus. Este moco se elimina del cuerpo al toser o tragar.",tratamiento del cáncer de pulmón,neumonectomia,https://doi.org/10.1016/S0003-4975(01)02783-1|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/surgery.html
96,Qué es la resección en manguito:,Cirugía para extirpar un tumor de un lóbulo del pulmón y una parte del bronquio principal (vía respiratoria). Los extremos del bronquio se vuelven a unir y los lóbulos restantes se unen al bronquio. Esta cirugía se lleva a cabo para conservar parte del pulmón. También se llama lobectomía en manguito.,tratamiento del cáncer de pulmón,manguito,https://doi.org/10.1186/s12957-018-1530-7|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/surgery.html
97,Qué es la radioterapia,"La radioterapia es un tratamiento del cáncer para el que se usan rayos X de alta energía u otros tipos de radiación para destruir células cancerosas o impedir que crezcan. Hay dos tipos de radioterapia: Para la radioterapia externa, se usa una máquina que envía la radiación hacia el área con cáncer desde el exterior del cuerpo. Para la radioterapia interna, se usa una sustancia radiactiva sellada en agujas, semillas, alambres o catéteres que se colocan directamente en el cáncer o cerca de este.",tratamiento del cáncer de pulmón,radioterapia,https://doi.org/10.1378/chest.07-0936|https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy
98,Qué es la radioterapia externa,"La radioterapia con rayo externo dirige la radiación desde fuera del cuerpo hacia el cáncer. Este tipo de radiación es el que se usa con más frecuencia para tratar un cáncer de pulmón no microcítico o su propagación a otros órganos. El tratamiento es muy similar a la radiografía, pero la dosis de radiación es más intensa. El procedimiento por sí solo no causa dolor, y cada tratamiento solo dura unos minutos. Con más frecuencia, los tratamientos de radiación para los pulmones se administran 5 días a la semana por 5 a 7 semanas, aunque esto puede variar según el tipo de radiación externa y la razón por la cual se está administrando. Las técnicas más recientes de radioterapia de rayo externo han demostrado que ayudan a los médicos a tratar los cánceres de pulmón con más precisión a la vez que se reduce la exposición a la radiación de los tejidos sanos adyacentes.",tratamiento del cáncer de pulmón,externa,https://doi.org/10.1016/j.ijrobp.2004.09.049|https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy
99,Qué es la radioterapia  corporal estereotáctica,"La radioterapia corporal estereotáctica (SBRT), también conocida como radioterapia ablativa estereotáctica (SABR), se usa con más frecuencia para tratar los cánceres de pulmón en etapas tempranas cuando no se puede hacer la cirugía debido a la salud de la persona o cuando la persona no quiere someterse a cirugía. También se  puede considerar para tumores que se han propagado a otras partes del cuerpo, como el cerebro o la glándula suprarrenal.En lugar de administrar una pequeña dosis de radiación cada día por varias semanas, la radioterapia estereotáctica corporal (SBRT) usa rayos de radiación muy enfocados en altas dosis administradas en menos tratamientos (generalmente de 1 a 5). Varios rayos se dirigen hacia el tumor desde varias direcciones. Para poder dirigir la radiación con precisión, su cuerpo  se coloca en un armazón especialmente diseñado para cada tratamiento. Esto reduce el movimiento del tumor pulmonar durante la respiración.",tratamiento del cáncer de pulmón,estereotáctica,https://doi.org/10.1001/jama.2010.261|https://doi.org/10.1016/S1470-2045(15)70168-3
100,Qué es la radioterapia interna,"En personas con cáncer de pulmón no microcítico, la radioterapia interna o braquiterapia se usa a veces para reducir el tamaño de los tumores que están en la vía respiratoria y así aliviar los síntomas. El médico coloca una pequeña fuente de material radiactivo (a menudo en forma de partículas o ""semillas"" pequeñas) directamente en el cáncer o en la vía respiratoria próxima al cáncer. A menudo se hace a través de un broncoscopio, pero también se puede hacer durante la cirugía. La radiación solo viaja una distancia corta desde la fuente, lo que limita los efectos a los tejidos sanos circundantes. Por lo general, la fuente de radiación se retira después de un corto periodo de tiempo. Con menos frecuencia, las pequeñas “semillas” radiactivas se dejan en el área permanentemente, y la radiación se reduce en el transcurso de varias semanas.",tratamiento del cáncer de pulmón,interna,https://doi.org/10.1378/chest.103.4_Supplement.369S|https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy
101,Qué es la  radiocirugía estereotáctica,"La radiocirugía estereotáctica (SRS) en realidad no es una cirugía, sino un tipo de radioterapia estereotáctica que se administra en una sola sesión. Algunas veces se puede usar en lugar o junto con la cirugía para tumores aislados que se han propagado al cerebro. En una versión de este tratamiento, una máquina enfoca alrededor de 200 rayos de radiación en el tumor desde diferentes ángulos durante minutos a horas. Su cabeza se mantiene en la misma posición con un marco rígido. En otra versión, un acelerador lineal (una máquina que emite radiación) que es controlado por una computadora, se mueve alrededor de su cabeza para administrar radiación al tumor desde muchos ángulos diferentes. Estos tratamientos se pueden repetir de ser necesario.",tratamiento del cáncer de pulmón,radiocirugia,https://doi.org/10.1016/S1470-2045(09)70263-3|https://doi.org/10.1007/s11060-009-0061-7
102,Como es la quimioterapia para el cáncer de pulmón no microcítico,"La quimioterapia es un tratamiento del cáncer en el que se usan medicamentos para interrumpir la formación de células cancerosas, ya sea mediante su destrucción o al impedir su multiplicación. La quimioterapia para el cáncer de pulmón de células no pequeñas suele ser sistémica, es decir, se inyecta en una vena o se toma por boca. Cuando se administra de esta manera, los medicamentos ingresan al torrente sanguíneo y pueden llegar a las células cancerosas de todo el cuerpo. Los medicamentos de quimioterapia que se usan para tratar el cáncer de pulmón de células no pequeñas son los siguientes: Carboplatino Cisplatino Docetaxel Doxorrubicina Etopósido Gemcitabina Paclitaxel Pemetrexed Vinorelbina. Es posible usar combinaciones de estos medicamentos y, en ocasiones, se administran otros medicamentos diferentes a los de esta lista. La quimioterapia también se puede combinar con otros tipos de tratamiento. Por ejemplo, se puede combinar con radioterapia o medicamentos de inmunoterapia.",tratamiento del cáncer de pulmón,quimioterapia,https://doi.org/10.1056/NEJMoa011954|https://doi.org/10.6004/jnccn.2021.0013
103,Qué es la terapia dirigida del cáncer de pulmón no microcítico,"La terapia dirigida es un tipo de tratamiento en el que se usan medicamentos u otras sustancias para identificar y atacar células cancerosas específicas. Es posible que el equipo médico indique pruebas de biomarcadores para predecir la respuesta que usted tendrá ante ciertos medicamentos de terapia dirigida. Para obtener más información, consulte Pruebas de biomarcadores para el tratamiento de cáncer. Las terapias dirigidas que se usan para tratar el cáncer de pulmón de células no pequeñas son los siguientes:Adagrasib Afatinib Alectinib Amivantamab Bevacizumab Brigatinib Capmatinib Ceritinib Cetuximab Crizotinib Dabrafenib Dacomitinib Entrectinib Erlotinib Everólimus Gefitinib Larotrectinib Lorlatinib Necitumumab Osimertinib Pralsetinib Ramucirumab Selpercatinib Sotorasib Tepotinib Trametinib",tratamiento del cáncer de pulmón,terapia|dirigida,https://doi.org/10.1056/NEJMoa0810699|https://doi.org/10.1093/annonc/mdy275
104,Qué es la inmunoterapia del cáncer de pulmón no microcítico,La inmunoterapia ayuda al sistema inmunitario a combatir el cáncer. Es posible que el equipo médico indique pruebas de biomarcadores para predecir la respuesta que usted tendrá ante ciertos medicamentos de inmunoterapia.  Los medicamentos de inmunoterapia que se usan para tratar el cáncer de pulmón de células no pequeñas son los siguientes: Atezolizumab Cemiplimab-rwlc Durvalumab Ipilimumab Nivolumab Pembrolizumab Tremelimumab,tratamiento del cáncer de pulmón,inmunoterapia,https://doi.org/10.1056/NEJMoa1606774|https://doi.org/10.1056/NEJMoa1709937
105,Qué es la terapia laser del cáncer de pulmón no microcítico,La terapia láser es un tratamiento del cáncer para el que se usa un rayo láser (haz delgado de luz intensa) para destruir células cancerosas.,tratamiento del cáncer de pulmón,laser,https://doi.org/10.1378/chest.87.5.519|https://www.cancerresearchuk.org/about-cancer/lung-cancer/treatment/laser-therapy
106,Qué es la terapia fotodinamica del cáncer de pulmón no microcítico,"La terapia fotodinámica (TFD) es un tratamiento del cáncer para el que se usa un medicamento y un tipo específico de rayo láser para destruir células cancerosas. Se inyecta en la vena un medicamento que se activa al exponerse a la luz. El medicamento se acumula más en las células cancerosas que en las normales. Después, se utilizan tubos de fibras ópticas para conducir el rayo láser hasta las células cancerosas, donde el medicamento se activa y las destruye. La terapia fotodinámica daña poco al tejido sano. Se usa principalmente para tratar tumores en la piel o justo debajo de esta, o en el revestimiento de los órganos internos. Cuando los tumores están en las vías respiratorias, la TFD se administra directamente en el tumor mediante un endoscopio.",tratamiento del cáncer de pulmón,fotodinamica,https://doi.org/10.1093/jnci/90.12.889| https://www.cancer.gov/about-cancer/treatment/types/photodynamic-therapy
107,Qué es la criocirugía,"La criocirugía es un tratamiento para el que se usa un instrumento para congelar y destruir tejido anormal, como el de un carcinoma in situ(cáncer de pulmón no microcítico en estadio 0). Este tipo de tratamiento también se llama crioterapia. Cuando los tumores están en las vías respiratorias, la criocirugía se hace con un endoscopio.",tratamiento del cáncer de pulmón,criocirugia,https://doi.org/10.1136/bmj.293.6557.181|https://www.cancer.gov/about-cancer/treatment/types/surgery/cryosurgery
